"Period","Indikator","value"
"2006M09","Massa- & pappersindustri (SNI 17)",105.9
"2006M10","Massa- & pappersindustri (SNI 17)",104.9
"2006M11","Massa- & pappersindustri (SNI 17)",104.9
"2006M12","Massa- & pappersindustri (SNI 17)",106
"2007M01","Massa- & pappersindustri (SNI 17)",106.8
"2007M02","Massa- & pappersindustri (SNI 17)",100.8
"2007M03","Massa- & pappersindustri (SNI 17)",104
"2007M04","Massa- & pappersindustri (SNI 17)",103.2
"2007M05","Massa- & pappersindustri (SNI 17)",101.8
"2007M06","Massa- & pappersindustri (SNI 17)",104
"2007M07","Massa- & pappersindustri (SNI 17)",103.3
"2007M08","Massa- & pappersindustri (SNI 17)",100.1
"2007M09","Massa- & pappersindustri (SNI 17)",101
"2007M10","Massa- & pappersindustri (SNI 17)",99
"2007M11","Massa- & pappersindustri (SNI 17)",99.9
"2007M12","Massa- & pappersindustri (SNI 17)",101
"2008M01","Massa- & pappersindustri (SNI 17)",97.8
"2008M02","Massa- & pappersindustri (SNI 17)",97.8
"2008M03","Massa- & pappersindustri (SNI 17)",99.4
"2008M04","Massa- & pappersindustri (SNI 17)",96.3
"2008M05","Massa- & pappersindustri (SNI 17)",90.5
"2008M06","Massa- & pappersindustri (SNI 17)",93
"2008M07","Massa- & pappersindustri (SNI 17)",85.8
"2008M08","Massa- & pappersindustri (SNI 17)",84.9
"2008M09","Massa- & pappersindustri (SNI 17)",78.4
"2008M10","Massa- & pappersindustri (SNI 17)",77.2
"2008M11","Massa- & pappersindustri (SNI 17)",75.8
"2008M12","Massa- & pappersindustri (SNI 17)",72.4
"2009M01","Massa- & pappersindustri (SNI 17)",78.4
"2009M02","Massa- & pappersindustri (SNI 17)",79.2
"2009M03","Massa- & pappersindustri (SNI 17)",73.9
"2009M04","Massa- & pappersindustri (SNI 17)",84.4
"2009M05","Massa- & pappersindustri (SNI 17)",86.3
"2009M06","Massa- & pappersindustri (SNI 17)",85.2
"2009M07","Massa- & pappersindustri (SNI 17)",90.1
"2009M08","Massa- & pappersindustri (SNI 17)",97.1
"2009M09","Massa- & pappersindustri (SNI 17)",97.2
"2009M10","Massa- & pappersindustri (SNI 17)",99.2
"2009M11","Massa- & pappersindustri (SNI 17)",101.5
"2009M12","Massa- & pappersindustri (SNI 17)",107
"2010M01","Massa- & pappersindustri (SNI 17)",101.5
"2010M02","Massa- & pappersindustri (SNI 17)",105.9
"2010M03","Massa- & pappersindustri (SNI 17)",107.5
"2010M04","Massa- & pappersindustri (SNI 17)",108.3
"2010M05","Massa- & pappersindustri (SNI 17)",116.4
"2010M06","Massa- & pappersindustri (SNI 17)",115
"2010M07","Massa- & pappersindustri (SNI 17)",114.6
"2010M08","Massa- & pappersindustri (SNI 17)",112.2
"2010M09","Massa- & pappersindustri (SNI 17)",111.2
"2010M10","Massa- & pappersindustri (SNI 17)",110.5
"2010M11","Massa- & pappersindustri (SNI 17)",112.9
"2010M12","Massa- & pappersindustri (SNI 17)",103.3
"2011M01","Massa- & pappersindustri (SNI 17)",113.8
"2011M02","Massa- & pappersindustri (SNI 17)",108.9
"2011M03","Massa- & pappersindustri (SNI 17)",105.6
"2011M04","Massa- & pappersindustri (SNI 17)",97.9
"2011M05","Massa- & pappersindustri (SNI 17)",94.2
"2011M06","Massa- & pappersindustri (SNI 17)",98.6
"2011M07","Massa- & pappersindustri (SNI 17)",98.3
"2011M08","Massa- & pappersindustri (SNI 17)",90.1
"2011M09","Massa- & pappersindustri (SNI 17)",87.8
"2011M10","Massa- & pappersindustri (SNI 17)",89.5
"2011M11","Massa- & pappersindustri (SNI 17)",82
"2011M12","Massa- & pappersindustri (SNI 17)",82.9
"2012M01","Massa- & pappersindustri (SNI 17)",89.3
